Start Time,End Time,Precipitation,Wind Speed,Wind Direction,Location
2024-02-14 22:00:00,2024-02-14 23:00:00,0.9,13.0,212.0,Berlin
2024-02-15 02:00:00,2024-02-15 06:00:00,0.3,14.8,220.0,Potsdam
2024-02-15 04:00:00,2024-02-15 04:00:00,0.2,11.1,215.0,Berlin
2024-02-15 06:00:00,2024-02-15 06:00:00,0.1,11.1,216.0,Berlin
2024-02-16 18:00:00,2024-02-16 18:00:00,0.1,17.6,230.0,Potsdam
2024-02-16 19:00:00,2024-02-16 19:00:00,0.1,14.8,229.0,Berlin
2024-02-16 21:00:00,2024-02-17 00:00:00,0.1,14.8,282.0,Berlin
2024-02-16 21:00:00,2024-02-16 23:00:00,0.4,19.8,260.0,Potsdam
2024-02-18 21:00:00,2024-02-19 00:00:00,0.3,19.1,190.0,Potsdam
2024-02-18 21:00:00,2024-02-19 02:00:00,0.1,13.0,210.0,Berlin
2024-02-19 03:00:00,2024-02-19 08:00:00,0.3,33.1,280.0,Potsdam
2024-02-19 04:00:00,2024-02-19 08:00:00,0.9,22.2,297.0,Berlin
2024-02-19 10:00:00,2024-02-19 11:00:00,0.1,27.7,290.0,Potsdam
2024-02-19 10:00:00,2024-02-19 11:00:00,0.1,25.9,298.0,Berlin
2024-02-19 14:00:00,2024-02-19 17:00:00,0.1,15.1,260.0,Potsdam
2024-02-19 16:00:00,2024-02-19 16:00:00,0.1,18.5,282.0,Berlin
2024-02-19 19:00:00,2024-02-19 20:00:00,0.1,14.8,270.0,Berlin
2024-02-20 00:00:00,2024-02-20 00:00:00,0.1,14.8,274.0,Berlin
2024-02-20 01:00:00,2024-02-20 01:00:00,0.4,21.6,270.0,Potsdam
2024-02-20 05:00:00,2024-02-20 09:00:00,0.1,25.2,280.0,Potsdam
2024-02-20 06:00:00,2024-02-20 08:00:00,0.4,18.5,289.0,Berlin
2024-02-21 03:00:00,2024-02-21 05:00:00,0.1,19.4,220.0,Potsdam
2024-02-21 03:00:00,2024-02-21 05:00:00,0.3,16.7,227.0,Berlin
2024-02-22 06:00:00,2024-02-22 11:00:00,0.9,16.6,210.0,Potsdam
2024-02-22 08:00:00,2024-02-22 12:00:00,0.1,16.7,198.0,Berlin
2024-02-22 17:00:00,2024-02-22 18:00:00,0.1,16.2,160.0,Potsdam
2024-02-22 21:00:00,2024-02-22 23:00:00,0.5,24.1,197.0,Berlin
2024-02-22 21:00:00,2024-02-22 23:00:00,0.1,26.3,180.0,Potsdam
2024-03-02 01:00:00,2024-03-02 03:00:00,0.1,14.0,100.0,Potsdam
2024-03-02 03:00:00,2024-03-02 03:00:00,0.1,7.4,119.0,Berlin
2024-03-02 06:00:00,2024-03-02 06:00:00,0.2,7.4,166.0,Berlin
2024-03-02 06:00:00,2024-03-02 06:00:00,0.1,11.2,200.0,Potsdam
2024-03-14 00:00:00,2024-03-14 02:00:00,0.1,11.2,210.0,Potsdam
2024-03-14 02:00:00,2024-03-14 03:00:00,0.2,9.3,219.0,Berlin
2024-03-16 11:00:00,2024-03-16 13:00:00,0.8,20.4,287.0,Berlin
2024-03-16 11:00:00,2024-03-16 13:00:00,0.1,23.8,290.0,Potsdam
2024-03-21 03:00:00,2024-03-21 04:00:00,0.4,11.9,230.0,Potsdam
2024-03-21 04:00:00,2024-03-21 06:00:00,0.1,9.3,219.0,Berlin
2024-03-21 07:00:00,2024-03-21 10:00:00,1.9,6.8,170.0,Potsdam
2024-03-21 08:00:00,2024-03-21 11:00:00,0.1,11.1,269.0,Berlin
2024-03-22 13:00:00,2024-03-23 01:00:00,0.1,9.3,301.0,Berlin
2024-03-22 13:00:00,2024-03-22 21:00:00,0.5,17.6,260.0,Potsdam
2024-03-22 23:00:00,2024-03-23 01:00:00,0.1,10.1,290.0,Potsdam
2024-03-23 04:00:00,2024-03-23 13:00:00,0.1,14.8,281.0,Berlin
2024-03-23 04:00:00,2024-03-23 13:00:00,0.1,17.3,240.0,Potsdam
2024-03-23 15:00:00,2024-03-23 16:00:00,1.0,14.8,265.0,Berlin
2024-03-23 15:00:00,2024-03-23 15:00:00,0.4,22.7,240.0,Potsdam
2024-03-23 19:00:00,2024-03-23 19:00:00,0.3,13.0,257.0,Berlin
2024-03-24 10:00:00,2024-03-24 13:00:00,0.4,18.5,228.0,Berlin
2024-03-24 10:00:00,2024-03-24 12:00:00,0.5,18.4,220.0,Potsdam
2024-03-24 14:00:00,2024-03-24 14:00:00,0.1,22.0,230.0,Potsdam
2024-03-24 17:00:00,2024-03-24 17:00:00,0.4,20.2,230.0,Potsdam
2024-03-24 18:00:00,2024-03-24 18:00:00,1.5,16.7,216.0,Berlin
2024-03-24 21:00:00,2024-03-25 04:00:00,0.6,23.0,270.0,Potsdam
2024-03-24 22:00:00,2024-03-25 00:00:00,0.2,14.8,261.0,Berlin
2024-03-25 02:00:00,2024-03-25 03:00:00,1.4,14.8,282.0,Berlin
2024-03-25 05:00:00,2024-03-25 09:00:00,1.0,16.7,291.0,Berlin
2024-03-28 06:00:00,2024-03-28 06:00:00,0.1,14.8,225.0,Berlin
2024-03-28 07:00:00,2024-03-28 08:00:00,0.1,21.2,230.0,Potsdam
2024-03-28 19:00:00,2024-03-28 19:00:00,0.2,16.7,232.0,Berlin
2024-03-29 11:00:00,2024-03-29 11:00:00,0.2,19.4,160.0,Potsdam
2024-03-29 21:00:00,2024-03-29 21:00:00,0.4,14.8,230.0,Potsdam
2024-03-29 21:00:00,2024-03-29 21:00:00,0.2,11.1,193.0,Berlin
2024-04-01 18:00:00,2024-04-01 19:00:00,0.7,24.8,250.0,Potsdam
2024-04-01 19:00:00,2024-04-01 19:00:00,0.7,18.5,252.0,Berlin
2024-04-02 14:00:00,2024-04-02 14:00:00,0.3,30.6,270.0,Potsdam
2024-04-02 15:00:00,2024-04-02 15:00:00,0.3,24.1,267.0,Berlin
2024-04-02 23:00:00,2024-04-02 23:00:00,0.3,26.3,250.0,Potsdam
2024-04-03 02:00:00,2024-04-03 02:00:00,0.3,20.4,265.0,Berlin
2024-04-03 05:00:00,2024-04-03 05:00:00,0.9,18.5,272.0,Berlin
2024-04-03 06:00:00,2024-04-03 06:00:00,1.6,21.6,280.0,Potsdam
2024-04-03 11:00:00,2024-04-03 13:00:00,0.3,5.4,230.0,Potsdam
2024-04-03 12:00:00,2024-04-03 18:00:00,0.2,9.3,157.0,Berlin
2024-04-03 15:00:00,2024-04-03 20:00:00,0.1,13.0,170.0,Potsdam
2024-04-03 20:00:00,2024-04-03 20:00:00,0.1,11.1,161.0,Berlin
2024-04-04 02:00:00,2024-04-04 02:00:00,0.3,17.6,220.0,Potsdam
2024-04-04 02:00:00,2024-04-04 02:00:00,0.2,13.0,207.0,Berlin
2024-04-04 11:00:00,2024-04-04 15:00:00,0.3,20.2,200.0,Potsdam
2024-04-04 11:00:00,2024-04-04 16:00:00,0.1,18.5,212.0,Berlin
2024-04-05 14:00:00,2024-04-05 14:00:00,0.1,17.6,190.0,Potsdam
2024-04-05 20:00:00,2024-04-05 20:00:00,0.3,32.4,250.0,Potsdam
2024-04-05 20:00:00,2024-04-05 20:00:00,2.4,16.7,238.0,Berlin
2024-04-09 22:00:00,2024-04-09 22:00:00,0.1,19.8,250.0,Potsdam
2024-04-10 00:00:00,2024-04-10 01:00:00,0.3,14.8,247.0,Berlin
2024-04-15 17:00:00,2024-04-15 17:00:00,0.3,12.6,180.0,Potsdam
2024-04-15 22:00:00,2024-04-15 23:00:00,0.4,27.0,260.0,Potsdam
2024-04-15 22:00:00,2024-04-15 23:00:00,1.3,22.2,253.0,Berlin
2024-04-16 05:00:00,2024-04-16 09:00:00,0.1,22.0,240.0,Potsdam
2024-04-16 06:00:00,2024-04-16 09:00:00,0.5,24.1,259.0,Berlin
2024-04-17 06:00:00,2024-04-17 07:00:00,0.5,4.0,30.0,Potsdam
2024-04-19 06:00:00,2024-04-19 13:00:00,0.6,16.7,228.0,Berlin
2024-04-19 07:00:00,2024-04-19 07:00:00,0.2,20.5,230.0,Potsdam
2024-04-19 09:00:00,2024-04-19 12:00:00,1.2,21.6,230.0,Potsdam
2024-04-19 15:00:00,2024-04-19 15:00:00,2.4,14.8,230.0,Potsdam
2024-04-19 16:00:00,2024-04-19 16:00:00,0.7,13.0,240.0,Berlin
2024-04-19 20:00:00,2024-04-19 21:00:00,0.2,11.1,283.0,Berlin
2024-04-19 21:00:00,2024-04-19 22:00:00,0.1,14.8,240.0,Potsdam
2024-04-20 00:00:00,2024-04-20 04:00:00,0.1,18.5,360.0,Berlin
2024-04-20 01:00:00,2024-04-20 03:00:00,0.4,24.5,360.0,Potsdam
2024-04-22 15:00:00,2024-04-22 15:00:00,0.1,7.4,20.0,Berlin
2024-04-22 17:00:00,2024-04-22 17:00:00,0.2,5.5,41.0,Berlin
2024-04-24 17:00:00,2024-04-24 17:00:00,0.4,7.4,185.0,Berlin
2024-04-25 09:00:00,2024-04-25 09:00:00,0.3,7.2,190.0,Potsdam
2024-04-25 13:00:00,2024-04-25 14:00:00,0.2,14.4,230.0,Potsdam
2024-04-25 19:00:00,2024-04-25 19:00:00,0.5,16.9,220.0,Potsdam
2024-04-25 21:00:00,2024-04-25 22:00:00,0.1,14.4,190.0,Potsdam
2024-05-03 20:00:00,2024-05-03 20:00:00,1.3,11.1,271.0,Berlin
2024-05-03 23:00:00,2024-05-03 23:00:00,1.5,17.6,280.0,Potsdam
2024-05-19 11:00:00,2024-05-19 11:00:00,3.0,7.6,220.0,Potsdam
2024-05-19 13:00:00,2024-05-19 13:00:00,0.2,7.2,140.0,Potsdam
2024-05-19 15:00:00,2024-05-19 15:00:00,0.1,9.3,195.0,Berlin
2024-05-19 17:00:00,2024-05-19 17:00:00,0.2,7.9,140.0,Potsdam
2024-05-20 13:00:00,2024-05-20 14:00:00,4.7,12.2,340.0,Potsdam
2024-05-20 16:00:00,2024-05-20 16:00:00,0.2,9.3,103.0,Berlin
2024-05-22 12:00:00,2024-05-22 12:00:00,0.2,11.1,148.0,Berlin
2024-05-22 13:00:00,2024-05-22 16:00:00,13.5,20.2,260.0,Potsdam
2024-05-22 23:00:00,2024-05-22 23:00:00,1.0,18.0,250.0,Potsdam
2024-05-22 23:00:00,2024-05-23 00:00:00,0.6,14.8,267.0,Berlin
2024-05-24 18:00:00,2024-05-25 02:00:00,3.1,5.0,30.0,Potsdam
2024-05-24 20:00:00,2024-05-25 03:00:00,1.1,7.4,92.0,Berlin
2024-05-25 20:00:00,2024-05-25 22:00:00,2.0,14.4,160.0,Potsdam
2024-05-25 20:00:00,2024-05-25 20:00:00,0.4,7.4,121.0,Berlin
2024-05-26 18:00:00,2024-05-26 19:00:00,0.1,15.1,160.0,Potsdam
2024-05-28 02:00:00,2024-05-28 02:00:00,0.5,10.4,230.0,Potsdam
2024-05-28 05:00:00,2024-05-28 11:00:00,0.2,13.7,260.0,Potsdam
2024-05-28 08:00:00,2024-05-28 12:00:00,0.1,13.0,266.0,Berlin
2024-05-29 21:00:00,2024-05-29 22:00:00,0.6,16.9,170.0,Potsdam
2024-05-30 09:00:00,2024-05-30 11:00:00,0.7,5.8,70.0,Potsdam
2024-05-30 09:00:00,2024-05-30 09:00:00,0.9,9.3,151.0,Berlin
2024-05-30 12:00:00,2024-05-30 13:00:00,6.8,9.3,138.0,Berlin
2024-05-30 14:00:00,2024-05-30 16:00:00,0.1,7.2,50.0,Potsdam
2024-05-30 15:00:00,2024-05-30 16:00:00,0.3,9.3,143.0,Berlin
2024-05-30 23:00:00,2024-05-30 23:00:00,0.7,9.0,100.0,Potsdam
2024-06-01 14:00:00,2024-06-01 14:00:00,0.1,13.0,350.0,Potsdam
2024-06-02 13:00:00,2024-06-02 13:00:00,0.4,22.7,300.0,Potsdam
2024-06-05 16:00:00,2024-06-05 20:00:00,0.7,10.4,250.0,Potsdam
2024-06-05 17:00:00,2024-06-05 17:00:00,1.5,11.1,282.0,Berlin
2024-06-05 19:00:00,2024-06-05 20:00:00,3.1,11.1,278.0,Berlin
2024-06-05 23:00:00,2024-06-05 23:00:00,0.1,9.3,271.0,Berlin
2024-06-05 23:00:00,2024-06-05 23:00:00,0.2,15.1,240.0,Potsdam
2024-06-06 18:00:00,2024-06-06 18:00:00,0.2,6.1,350.0,Potsdam
2024-06-06 21:00:00,2024-06-06 22:00:00,0.1,9.3,14.0,Berlin
2024-06-06 21:00:00,2024-06-06 21:00:00,1.4,13.3,330.0,Potsdam
2024-06-07 00:00:00,2024-06-07 00:00:00,0.4,11.2,360.0,Potsdam
2024-06-10 19:00:00,2024-06-10 21:00:00,0.9,10.1,100.0,Potsdam
2024-06-10 19:00:00,2024-06-10 22:00:00,0.5,9.3,198.0,Berlin
2024-06-12 11:00:00,2024-06-12 12:00:00,0.4,16.2,240.0,Potsdam
2024-06-14 12:00:00,2024-06-14 13:00:00,2.3,16.7,169.0,Berlin
2024-06-14 12:00:00,2024-06-14 12:00:00,1.9,17.6,220.0,Potsdam
2024-06-14 17:00:00,2024-06-14 17:00:00,0.1,13.3,140.0,Potsdam
2024-06-15 08:00:00,2024-06-15 09:00:00,1.4,18.0,180.0,Potsdam
2024-06-15 08:00:00,2024-06-15 10:00:00,0.1,16.7,191.0,Berlin
2024-06-17 14:00:00,2024-06-17 15:00:00,0.6,16.6,220.0,Potsdam
2024-06-17 16:00:00,2024-06-17 16:00:00,0.1,13.0,250.0,Berlin
2024-06-17 19:00:00,2024-06-17 19:00:00,0.3,9.3,258.0,Berlin
2024-06-18 17:00:00,2024-06-18 20:00:00,0.9,11.9,150.0,Potsdam
2024-06-18 17:00:00,2024-06-18 18:00:00,9.6,9.3,129.0,Berlin
2024-06-18 20:00:00,2024-06-18 20:00:00,0.6,7.4,89.0,Berlin
2024-06-19 04:00:00,2024-06-19 06:00:00,0.3,11.5,340.0,Potsdam
2024-06-19 06:00:00,2024-06-19 06:00:00,0.1,11.1,325.0,Berlin
2024-06-19 13:00:00,2024-06-19 15:00:00,0.3,13.0,316.0,Berlin
2024-06-19 13:00:00,2024-06-19 15:00:00,0.2,10.1,290.0,Potsdam
2024-06-21 14:00:00,2024-06-21 16:00:00,0.2,15.8,70.0,Potsdam
2024-06-21 15:00:00,2024-06-21 16:00:00,2.9,9.3,143.0,Berlin
